???,255,255,255,255
L_V1_ROI,63,5,255,0
L_MST_ROI,54,103,129,0
L_V6_ROI,62,78,178,0
L_V2_ROI,23,50,233,0
L_V3_ROI,15,40,226,0
L_V4_ROI,14,28,214,0
L_V8_ROI,26,47,201,0
L_4_ROI,33,178,20,0
L_3b_ROI,35,205,21,0
L_FEF_ROI,134,143,137,0
L_PEF_ROI,141,166,152,0
L_55b_ROI,62,88,47,0
L_V3A_ROI,7,57,246,0
L_RSC_ROI,153,64,133,0
L_POS2_ROI,186,86,188,0
L_V7_ROI,18,70,195,0
L_IPS1_ROI,57,114,160,0
L_FFC_ROI,57,89,117,0
L_V3B_ROI,25,47,206,0
L_LO1_ROI,0,49,184,0
L_LO2_ROI,18,33,181,0
L_PIT_ROI,34,43,171,0
L_MT_ROI,31,86,104,0
L_A1_ROI,235,19,47,0
L_PSL_ROI,122,79,56,0
L_SFL_ROI,31,49,22,0
L_PCV_ROI,138,128,153,0
L_STV_ROI,142,87,76,0
L_7Pm_ROI,149,181,188,0
L_7m_ROI,42,31,44,0
L_POS1_ROI,81,54,98,0
L_23d_ROI,127,56,91,0
L_v23ab_ROI,29,0,14,0
L_d23ab_ROI,63,17,47,0
L_31pv_ROI,54,11,42,0
L_5m_ROI,48,163,48,0
L_5mv_ROI,153,172,136,0
L_23c_ROI,205,190,194,0
L_5L_ROI,64,154,64,0
L_24dd_ROI,69,161,44,0
L_24dv_ROI,119,159,66,0
L_7AL_ROI,115,194,134,0
L_SCEF_ROI,110,146,86,0
L_6ma_ROI,144,179,135,0
L_7Am_ROI,184,243,224,0
L_7PL_ROI,169,246,237,0
L_7PC_ROI,68,177,108,0
L_LIPv_ROI,63,113,158,0
L_VIP_ROI,50,129,137,0
L_MIP_ROI,136,206,204,0
L_1_ROI,20,191,38,0
L_2_ROI,48,176,62,0
L_3a_ROI,47,216,22,0
L_6d_ROI,26,158,32,0
L_6mp_ROI,64,159,38,0
L_6v_ROI,71,168,50,0
L_p24pr_ROI,146,136,107,0
L_33pr_ROI,129,106,103,0
L_a24pr_ROI,176,133,130,0
L_p32pr_ROI,163,142,121,0
L_a24_ROI,67,12,25,0
L_d32_ROI,90,41,50,0
L_8BM_ROI,105,83,81,0
L_p32_ROI,95,32,52,0
L_10r_ROI,25,12,1,0
L_47m_ROI,96,75,66,0
L_8Av_ROI,53,54,43,0
L_8Ad_ROI,63,67,48,0
L_9m_ROI,43,35,18,0
L_8BL_ROI,34,39,20,0
L_9p_ROI,38,43,28,0
L_10d_ROI,38,35,24,0
L_8C_ROI,101,85,84,0
L_44_ROI,88,88,62,0
L_45_ROI,60,63,42,0
L_47l_ROI,51,49,31,0
L_a47r_ROI,77,76,66,0
L_6r_ROI,178,214,151,0
L_IFJa_ROI,126,119,95,0
L_IFJp_ROI,137,160,132,0
L_IFSp_ROI,97,98,87,0
L_IFSa_ROI,188,201,178,0
L_p9-46v_ROI,138,149,134,0
L_46_ROI,207,217,200,0
L_a9-46v_ROI,145,112,128,0
L_9-46d_ROI,140,117,131,0
L_9a_ROI,55,52,45,0
L_10v_ROI,14,35,14,0
L_a10p_ROI,98,75,89,0
L_10pp_ROI,55,62,58,0
L_11l_ROI,129,106,118,0
L_13l_ROI,82,60,69,0
L_OFC_ROI,40,35,31,0
L_47s_ROI,66,35,33,0
L_LIPd_ROI,155,180,202,0
L_6a_ROI,121,192,136,0
L_i6-8_ROI,90,98,83,0
L_s6-8_ROI,88,92,73,0
L_43_ROI,145,138,64,0
L_OP4_ROI,114,157,49,0
L_OP1_ROI,99,158,35,0
L_OP2-3_ROI,145,127,52,0
L_52_ROI,208,72,66,0
L_RI_ROI,178,61,23,0
L_PFcm_ROI,190,144,89,0
L_PoI2_ROI,131,124,83,0
L_TA2_ROI,130,42,27,0
L_FOP4_ROI,182,148,129,0
L_MI_ROI,157,116,106,0
L_Pir_ROI,90,66,65,0
L_AVI_ROI,141,72,83,0
L_AAIC_ROI,85,35,44,0
L_FOP1_ROI,160,153,88,0
L_FOP3_ROI,175,137,99,0
L_FOP2_ROI,99,156,51,0
L_PFt_ROI,129,222,134,0
L_AIP_ROI,136,220,166,0
L_EC_ROI,49,48,35,0
L_PreS_ROI,86,57,83,0
L_H_ROI,60,57,40,0
L_ProS_ROI,87,59,176,0
L_PeEc_ROI,61,62,51,0
L_STGa_ROI,58,42,26,0
L_PBelt_ROI,195,30,5,0
L_A5_ROI,99,39,6,0
L_PHA1_ROI,69,50,75,0
L_PHA3_ROI,96,102,113,0
L_STSda_ROI,77,51,34,0
L_STSdp_ROI,73,57,39,0
L_STSvp_ROI,71,59,57,0
L_TGd_ROI,35,34,23,0
L_TE1a_ROI,11,14,0,0
L_TE1p_ROI,96,102,94,0
L_TE2a_ROI,67,64,58,0
L_TF_ROI,64,72,56,0
L_TE2p_ROI,105,128,117,0
L_PHT_ROI,217,252,223,0
L_PH_ROI,88,131,163,0
L_TPOJ1_ROI,125,90,64,0
L_TPOJ2_ROI,156,162,138,0
L_TPOJ3_ROI,121,148,145,0
L_DVT_ROI,120,112,190,0
L_PGp_ROI,155,190,228,0
L_IP2_ROI,176,166,174,0
L_IP1_ROI,118,121,128,0
L_IP0_ROI,112,160,207,0
L_PFop_ROI,187,205,145,0
L_PF_ROI,255,255,226,0
L_PFm_ROI,133,105,114,0
L_PGi_ROI,53,62,46,0
L_PGs_ROI,62,67,57,0
L_V6A_ROI,41,89,166,0
L_VMV1_ROI,62,61,155,0
L_VMV3_ROI,49,53,159,0
L_PHA2_ROI,88,90,89,0
L_V4t_ROI,14,79,128,0
L_FST_ROI,92,157,153,0
L_V3CD_ROI,15,46,182,0
L_LO3_ROI,54,94,160,0
L_VMV2_ROI,67,62,161,0
L_31pd_ROI,56,22,45,0
L_31a_ROI,143,105,133,0
L_VVC_ROI,53,61,124,0
L_25_ROI,36,24,14,0
L_s32_ROI,46,35,21,0
L_pOFC_ROI,76,48,53,0
L_PoI1_ROI,164,104,97,0
L_Ig_ROI,110,123,36,0
L_FOP5_ROI,163,102,105,0
L_p10p_ROI,89,64,76,0
L_p47r_ROI,126,123,112,0
L_TGv_ROI,46,51,42,0
L_MBelt_ROI,187,30,24,0
L_LBelt_ROI,233,18,27,0
L_A4_ROI,152,39,4,0
L_STSva_ROI,40,33,22,0
L_TE1m_ROI,59,45,43,0
L_PI_ROI,122,50,50,0
L_a32pr_ROI,130,63,87,0
L_p24_ROI,123,35,74,0
